Wait Time / h,Jobs Run,Raw Used
0,3730,169622.522
1,518,31984.086
2,283,18292.206
3,222,17935.229
4,173,10751.696
5,114,7836.368
6,98,8574.435
7,59,8224.265
8,73,3399.703
9,62,7416.668
10,65,4888.956
11,51,7281.079
12,22,3505.866
13,14,2081.384
14,16,5252.843
15,4,618.387
16,6,1104.603
17,3,792.389
19,2,908.878
20,2,96.002
21,13,1018.313
22,7,576.156
23,10,816.068
24,52,3645.043
25,6,561.447
26,3,289.777
27,8,336.977
28,4,194.114
30,1,48.001
31,2,74.389
33,1,72.02
34,1,16.796
35,1,48.009
36,1,48.009
37,1,48.004
38,2,96.017
39,2,96.019
41,3,161.567
43,2,93.578
45,8,684.124
46,5,480.037
47,3,144.026
48,2,96.008
49,4,384.092
50,1,48.002
51,1,48.017
52,2,120.01
53,1,93.594
59,1,106.525
69,8,644.179
72,1,23.851
76,1,72.019
100,1,72.023
