Wait Time / h,Jobs Run,Raw Used
0,435,77425.239
1,67,24710.815
2,32,17183.837
3,20,3308.761
4,13,8945.365
5,14,5112.023
6,9,6400.984
7,4,1170.473
8,1,96.002
9,1,2.556
10,1,883.832
11,1,1393
107,1,1079.505
132,1,975.43
148,1,1532.743
240,1,192.047
242,5,960.011
260,1,96.032
262,1,1095.013
278,1,960.067
279,1,192.009
280,2,576.157
282,1,384.018
284,6,7201.672
287,2,4320.761
292,1,636.195
298,2,614.769
302,1,1519.132
309,1,1528.16
310,2,2482.656
324,1,333.103
325,3,1676.149
352,1,1094.68
688,1,1054.167
