Wait Time / h,Jobs Run,Raw Used
0,11051,688246.976
1,1527,155434.408
2,1012,98847.527
3,719,45537.21
4,697,51856.285
5,425,25475.56
6,428,28930.961
7,349,18679.105
8,230,9443.722
9,176,12758.058
10,215,11804.214
11,226,16525.837
12,236,15734.466
13,226,11424.106
14,456,16102.216
15,192,4396.895
16,174,4920.939
17,102,3458.635
18,84,2096.527
19,148,3537.956
20,125,5150.78
21,190,4871.237
22,137,2604.066
23,114,3256.262
24,201,8863.764
25,98,2770.881
26,41,8788.82
27,52,1603.19
28,35,1164.416
29,11,555.851
30,14,414.125
31,17,564.933
32,17,727.342
33,10,414.871
34,11,377.63
35,4,92.494
36,10,125.774
37,17,448.134
38,2,96.017
39,4,633.975
40,1,277.695
41,13,1908.813
42,4,585.1
43,3,96.541
44,1,7.406
45,10,708.289
46,20,626.633
47,4,149.636
48,13,582.544
49,5,385.816
50,2,72.007
51,1,48.017
52,4,408.307
53,1,93.594
57,2,288.174
58,3,251.654
59,1,106.525
60,1,8.28
62,2,288.353
69,8,644.179
72,2,311.851
73,2,202.082
76,1,72.019
96,1,288.073
100,1,72.023
107,1,1079.505
132,1,975.43
148,1,1532.743
168,2,17.136
210,1,1104.389
225,1,97.942
227,1,154.36
233,3,54.373
235,1,728.782
240,1,192.047
242,7,1000.247
243,1,16.68
244,2,829.08
245,2,796.949
246,1,120.081
253,2,48.011
260,2,1248.406
262,1,1095.013
269,1,237.281
274,1,8.504
277,2,160.071
278,1,960.067
279,1,192.009
280,3,1728.503
281,3,1244.38
282,1,384.018
284,6,7201.672
287,2,4320.761
292,1,636.195
298,2,614.769
302,1,1519.132
309,1,1528.16
310,2,2482.656
324,1,333.103
325,3,1676.149
352,1,1094.68
354,1,9671.253
375,3,555.54
688,1,1054.167
