Wait Time / h,Jobs Run,Raw Used
0,4615,238996.723
1,912,49949.47
2,353,22686.502
3,235,20362.599
4,112,10730.007
5,65,8708.394
6,49,6229.24
7,59,5110.112
8,20,1037.8
9,13,82.637
10,21,480.366
11,6,45.203
12,4,186.617
13,3,21.554
14,10,633.108
15,10,1227.069
16,17,1468.613
17,9,2397.502
18,10,3032.781
19,7,235.764
20,6,202.942
21,4,160.996
22,5,220.377
23,3,81.342
24,30,1975.18
25,5,340.097
26,1,2.868
27,2,9.863
28,9,977.325
29,15,1771.081
30,4,1643.517
31,5,278.523
32,6,351.82
33,3,218.099
34,2,14.676
37,1,2.737
38,1,1.276
40,1,1.27
41,1,1.39
43,2,149.661
44,1,1.375
46,1,2.874
48,21,1872.214
49,3,272.797
52,1,72.024
53,1,138.26
58,1,72.017
59,1,186.749
72,1,72.024
80,2,36.635
81,1,72.021
100,1,72.007
105,1,72.021
124,1,47.321
125,1,72.008
129,1,49.013
141,9,3651.953
145,1,440.993
146,6,2310.647
149,1,72.016
174,1,72.002
