Wait Time / h,Jobs Run,Raw Used
0,1090,50272.452
1,347,20349.197
2,207,11791.926
3,157,4271.494
4,233,8669.736
5,147,11589.623
6,99,2900.207
7,83,4629.015
8,110,9127.51
9,160,8278.208
10,152,9387.426
11,114,8671.954
12,146,8678.726
13,114,11638.149
14,32,1436.841
15,62,6736.29
16,101,4639.869
17,92,7976.487
18,51,3360.807
19,56,2382.327
20,42,2525.978
21,50,2622.927
22,24,2386.893
23,67,2634.463
24,46,5027.784
25,29,1101.159
26,61,2834.405
27,32,2398.291
28,18,1326.034
29,17,1369.392
30,51,1846.434
31,31,1120.649
32,17,587.787
33,19,658.246
34,14,929.662
35,21,589.042
36,5,55.08
37,17,312.783
38,16,398.361
39,24,266.819
40,39,993.296
41,39,514.093
42,13,133.449
43,6,48.089
44,22,377.651
45,48,1374.381
46,16,137.37
47,71,3153.296
48,34,676.004
49,27,166.582
50,14,120.474
51,16,235.187
52,19,262.187
53,1,10.444
55,17,113.148
56,42,374.323
57,19,186.135
58,12,154.946
59,5,74.412
60,23,355.4
61,18,972.957
62,3,102.019
63,9,142.911
64,1,48.014
65,1,35.38
66,1,48.002
68,5,294.656
69,1,13.348
70,1,15.159
71,6,189.884
72,3,1473.79
73,1,3754.378
75,1,3758.773
83,3,53.329
84,3,17.424
85,1,5.823
86,2,14.918
87,1,9.167
90,2,912.538
93,2,3760.091
95,2,15.049
107,4,311.854
108,2,47.528
109,1,31.295
110,1,48.008
111,1,960.3
115,1,3748.262
120,1,972.427
130,1,23.763
131,1,23.764
134,1,3793.364
135,3,100.344
137,2,1311.658
140,2,5920.242
144,3,452.022
153,1,59.267
154,1,23.764
155,1,23.764
158,1,120.024
159,1,48.004
160,1,49.189
161,1,2163.2
164,2,4324.2
168,1,3067.858
174,1,8.173
177,1,12.619
178,1,6.624
186,1,2.558
202,8,1536.142
207,1,3.448
225,2,26.407
226,2,37.973
234,1,24.006
261,1,384.058
262,3,140.453
263,1,65.658
264,4,1030.196
271,5,315.596
273,1,48.006
274,1,19.239
275,1,18.914
276,1,19.098
278,3,523.52
279,1,48.007
280,5,217.133
281,4,192.002
299,1,96.02
303,1,96.01
305,1,120.032
308,1,4679.738
310,1,192.084
311,1,216.025
312,1,6529.435
313,2,409.4
320,1,45.873
326,2,1330.311
327,1,5775.378
330,1,4688.147
351,1,335.822
352,1,387.822
353,1,504.444
354,2,720.089
356,1,26.249
370,2,3144.374
371,6,1227.747
379,1,24.006
385,3,288.024
386,1,7567.84
388,3,440.022
389,4,694.757
390,4,820.712
394,2,1944.119
395,1,1536.142
400,3,816.092
401,10,3840.604
404,1,384.004
405,2,768.173
406,1,384.098
410,2,384.022
466,1,7605.92
467,1,7358.68
