Wait Time / h,Jobs Run,Raw Used
0,13808,837614.949
1,1728,113760.081
2,819,49079.771
3,782,40126.904
4,554,25813.583
5,461,22339.324
6,360,18046.306
7,279,19209.144
8,223,12925.685
9,215,5344.999
10,155,4660.339
11,203,7701.494
12,142,10149.794
13,167,6134.986
14,96,2895.134
15,99,7491.193
16,92,5239.443
17,89,9597.527
18,92,7796.547
19,87,5904.233
20,88,4460.637
21,88,8194.924
22,83,2316.952
23,51,3537.65
24,119,7593.545
25,51,3480.099
26,39,3053.416
27,17,1239.223
28,53,3062.918
29,41,4392.726
30,17,2889.719
31,22,2998.443
32,49,1908.662
33,8,375.058
34,11,1583.979
35,14,486.032
36,45,1597.573
37,30,1254.872
38,5,143.639
39,9,200.924
40,19,2731.619
41,24,3682.07
42,14,602.239
43,5,236.092
44,3,66.131
45,9,3095.223
46,19,2638.052
47,2,168.014
48,34,2729.89
49,21,478.355
50,7,625.038
51,2,129.382
52,3,518.52
53,13,628.478
54,5,1035.039
55,4,243.384
57,3,85.097
58,4,328.518
59,5,435.936
60,1,66.32
61,1,14.736
63,4,1566.879
64,8,517.047
65,9,729.612
67,2,86.111
68,5,197.709
69,1,70.388
72,3,552.057
73,1,147.56
74,1,288.017
75,2,141.161
78,6,419.56
79,1,53.932
80,2,36.635
81,3,226.64
82,2,124.336
83,18,9848.889
84,3,1682.155
85,2,650.012
86,1,90.698
87,2,933.312
88,2,2273.57
89,1,739.929
90,8,973.743
91,5,6200.853
92,3,863.732
93,2,115.08
94,4,929.383
95,1,81.769
96,1,89.018
97,1,64.526
98,3,192.956
99,2,621.696
100,2,130.612
101,2,134.524
102,2,132.24
103,2,76.567
104,1,49.259
105,5,392.266
106,1,752.464
108,1,64.746
110,1,96.262
113,2,76.341
114,2,186.231
115,1,59.809
116,2,104.19
117,2,79.969
118,5,210.064
119,10,1243.851
120,2,265.606
121,1,192.02
122,2,1522.939
124,2,122.782
125,2,165.628
126,2,895.79
129,1,49.013
131,1,95.942
132,1,95.96
135,1,144.624
141,9,3651.953
145,1,440.993
146,7,2455.21
147,1,910.411
148,6,4967.091
149,1,72.016
155,1,144.342
157,8,502.37
161,2,36.453
167,1,144.336
168,5,3297.968
172,3,166.164
173,2,142.544
174,3,191.241
176,1,143.842
177,1,1019.6
181,2,1526.35
183,1,84.816
186,1,36.082
191,5,278.43
193,1,234.017
194,1,194.307
196,1,35.291
197,1,55.547
198,1,1200.153
199,1,148.108
200,1,38.264
203,1,43.161
204,3,213.291
206,1,37.368
208,1,61.468
210,2,120.266
212,7,1188.291
213,3,623.506
219,2,82.561
220,1,274.329
223,2,104.497
225,3,1217.049
226,1,44.694
228,2,145.147
230,2,131.396
231,1,720.158
232,1,47.552
233,1,79.29
235,1,742.517
237,1,62.836
238,1,55.238
239,3,1400.483
241,1,41.281
242,1,237.261
246,1,74.154
247,1,61.312
252,2,98.81
254,1,39.066
257,1,63.481
259,1,240.061
260,1,240.047
269,1,64.199
270,4,3888.535
271,1,71.684
272,4,3695.433
273,2,1568.138
274,2,831.365
275,1,947.556
277,1,96.004
278,1,1200.3
279,8,4065.48
280,1,601.143
281,1,897.022
282,1,96.011
283,1,51.096
284,1,1536.373
286,1,733.297
287,1,555.097
288,1,968.889
290,1,2256.639
293,2,1919.644
295,1,897.889
296,1,2272.083
301,6,7201.217
302,2,2400.633
303,1,1200.083
