Wait Time / h,Jobs Run,Raw Used
0,4135,273895.13
1,1390,117584.343
2,693,88425.848
3,809,55955.162
4,1308,110300.088
5,1144,66491.193
6,444,18985.276
7,382,10740.675
8,481,16801.173
9,304,17785.069
10,266,11134.179
11,289,13916.611
12,390,17655.442
13,275,11798.535
14,239,13095.991
15,285,20522.739
16,433,29015.491
17,289,15987.402
18,168,11936.173
19,212,18935.195
20,153,17018.431
21,151,10337.618
22,207,8539.545
23,98,8788.241
24,142,23690.255
25,74,5621.724
26,143,12651.561
27,146,10456.173
28,83,11044.676
29,44,4117.914
30,64,6230.049
31,31,3781.364
32,35,6571.927
33,43,1180.107
34,64,16014.025
35,59,8752.283
36,47,5797.689
37,22,3868.771
38,10,4200.819
39,31,5767.109
40,21,8652.568
41,21,4084.483
42,15,1253.404
43,27,659.35
44,19,1511.246
45,16,4403.914
46,32,6664.43
47,19,4854.847
48,36,17186.185
49,15,2589.742
50,34,5408.606
51,15,1470.361
52,27,2269.423
53,15,3266.205
54,8,748.749
55,6,739.557
56,7,1538.864
57,8,9183.066
58,6,2035.879
59,5,2624.547
60,6,51.299
61,4,3625.621
62,20,13257.548
63,10,1447.65
64,11,3435.993
65,11,2998.453
66,12,557.583
67,13,2562.956
68,17,10523.854
69,12,21159.775
70,4,2671.343
71,4,19136.621
72,12,547.544
73,7,276.651
74,6,143.777
75,3,72.007
76,7,531.637
77,2,12482.206
78,6,2304.347
80,3,2167.207
83,5,2979.314
85,1,873.417
88,2,6061.009
89,2,78.079
91,1,738.511
92,1,11776.293
94,1,1974.742
95,1,7536.293
97,5,1914.469
98,1,4.363
103,1,23.764
108,3,4144.819
112,1,23.765
113,1,47.973
117,1,349.716
126,1,23.764
128,2,324.042
131,11,4593.567
132,1,733.489
136,1,23.764
140,2,4912.694
141,4,714.827
142,1,869.944
146,8,456.34
147,2,874.427
155,2,1046.562
156,1,314.967
157,1,192.031
158,2,480.093
159,1,192.062
160,1,4.746
172,1,3125.261
173,1,23.765
174,4,579.736
190,11,512.355
209,1,23.986
262,1,360.067
296,2,47.529
319,2,42.981
343,1,9.428
485,1,48.009
