Wait Time / h,Jobs Run,Raw Used
0,2689,112717.078
1,804,44017.34
2,333,17158.26
3,266,13505.908
4,354,25784.001
5,277,14505.452
6,80,4189.369
7,78,3115.664
8,66,2862.921
9,64,3914.12
10,31,4108.055
11,61,5303.506
12,27,4962.92
13,31,253.678
14,42,897.129
15,39,1329.395
16,30,2716.652
17,48,7497.287
18,10,855.6
19,9,230.526
20,9,699.609
21,35,2401.666
22,13,308.679
23,15,931.501
24,17,764.569
25,13,368.816
26,21,1676.449
27,16,743.103
28,20,516.296
29,8,231.095
30,8,200.942
31,5,105.222
32,9,241.498
33,10,97.128
34,3,153.131
35,4,81.028
36,1,23.951
37,3,56.29
38,1,23.953
41,4,52.657
42,1,23.951
43,1,21.358
44,1,7.994
45,6,761.971
48,2,22.787
49,1,120.822
55,3,355.372
145,2,844.073
