Wait Time / h,Jobs Run,Raw Used
0,7089,394647.996
1,2281,165689.153
2,1068,105809.107
3,1124,69728.394
4,1675,136185.757
5,1444,81226.818
6,544,23277.766
7,469,13917.348
8,559,27164.953
9,371,21735.319
10,297,15242.234
11,350,19220.117
12,417,22618.363
13,307,17164.296
14,281,13993.12
15,325,21867.9
16,465,31769.719
17,337,23484.689
18,178,12791.773
19,221,19165.721
20,162,17718.04
21,186,12739.284
22,221,8861.615
23,114,11774.568
24,162,24477.292
25,89,6017.3
26,164,14328.01
27,162,11199.275
28,103,11560.973
29,52,4349.008
30,73,6444.361
31,37,3900.063
32,44,6813.424
33,53,1277.235
34,68,16180.633
35,63,8833.311
36,48,5821.64
37,25,3925.061
38,11,4224.772
39,31,5767.109
40,21,8652.568
41,25,4137.14
42,16,1277.354
43,28,680.708
44,20,1519.24
45,22,5165.885
46,32,6664.43
47,19,4854.847
48,38,17208.972
49,16,2710.565
50,35,6874.348
51,15,1470.361
52,27,2269.423
53,16,7183.574
54,8,748.749
55,9,1094.929
56,7,1538.864
57,8,9183.066
58,6,2035.879
59,5,2624.547
60,6,51.299
61,4,3625.621
62,20,13257.548
63,10,1447.65
64,11,3435.993
65,11,2998.453
66,12,557.583
67,13,2562.956
68,17,10523.854
69,12,21159.775
70,4,2671.343
71,5,20601.795
72,12,547.544
73,7,276.651
74,6,143.777
75,3,72.007
76,7,531.637
77,2,12482.206
78,6,2304.347
80,3,2167.207
83,5,2979.314
85,1,873.417
88,2,6061.009
89,2,78.079
91,1,738.511
92,1,11776.293
94,1,1974.742
95,1,7536.293
97,5,1914.469
98,1,4.363
103,1,23.764
108,3,4144.819
112,1,23.765
113,1,47.973
117,1,349.716
126,1,23.764
128,2,324.042
131,11,4593.567
132,1,733.489
136,1,23.764
140,2,4912.694
141,4,714.827
142,1,869.944
145,2,844.073
146,8,456.34
147,2,874.427
155,2,1046.562
156,1,314.967
157,1,192.031
158,2,480.093
159,1,192.062
160,1,4.746
168,4,29.576
172,1,3125.261
173,1,23.765
174,4,579.736
190,11,512.355
209,1,23.986
262,1,360.067
296,2,47.529
319,2,42.981
343,1,9.428
485,1,48.009
