Wait Time / h,Jobs Run,Raw Used
0,802,59281.48
1,366,47576.496
2,240,38083.104
3,225,10678.667
4,559,56642.178
5,443,29572.14
6,156,9185.097
7,108,4484.388
8,140,6723.417
9,98,6006.9
10,93,6770.141
11,98,6852.608
12,139,8151.408
13,81,2575.092
14,106,7035.152
15,112,8153.921
16,192,13389.298
17,145,8750.243
18,69,7089.717
19,90,9529.909
20,44,9474.248
21,45,3120.999
22,103,4344.977
23,44,5849.939
24,17,17467.987
25,21,3457.307
26,48,5794.859
27,58,4083.123
28,20,4802.564
29,14,808.904
30,25,4568.894
31,22,1835.893
32,13,650.137
33,7,597.804
34,30,13023.841
35,12,2206.512
36,28,2504.85
37,4,392.547
38,4,1344.362
39,11,3510.959
40,8,2189.589
41,4,505.348
42,3,407.897
43,1,34.366
44,4,663.248
45,4,663.562
46,18,1302.226
47,7,3570.778
48,7,16500.543
49,8,2410.81
50,30,4744.121
51,7,1049.497
52,13,1909.188
53,3,360.044
54,1,172.982
55,1,70.627
58,1,115.741
59,4,800.013
60,6,51.299
61,2,224.983
62,9,1890.852
63,10,1447.65
64,3,547.741
65,3,2047.231
66,3,239.798
67,2,704.844
69,3,17085.711
70,2,1866.272
71,3,19098.264
72,2,307.507
73,1,132.633
74,5,119.773
77,1,12337.178
78,6,2304.347
80,2,240.04
88,1,6042.587
89,1,30.106
92,1,11776.293
94,1,1974.742
95,1,7536.293
97,1,1338.693
98,1,4.363
103,1,23.764
112,1,23.765
126,1,23.764
128,2,324.042
131,10,3441.5
136,1,23.764
146,8,456.34
160,1,4.746
173,1,23.765
296,2,47.529
319,2,42.981
343,1,9.428
485,1,48.009
