Wait Time / h,Jobs Run,Raw Used
0,6287,335366.516
1,1915,118112.657
2,828,67726.003
3,899,59049.727
4,1116,79543.58
5,1001,51654.678
6,388,14092.669
7,361,9432.96
8,419,20441.536
9,273,15728.419
10,204,8472.093
11,252,12367.51
12,278,14466.954
13,226,14589.204
14,175,6957.968
15,213,13713.979
16,273,18380.42
17,192,14734.446
18,109,5702.056
19,131,9635.812
20,118,8243.792
21,141,9618.285
22,118,4516.638
23,70,5924.63
24,145,7009.305
25,68,2559.993
26,116,8533.151
27,104,7116.153
28,83,6758.409
29,38,3540.104
30,48,1875.467
31,15,2064.17
32,31,6163.288
33,46,679.432
34,38,3156.792
35,51,6626.799
36,20,3316.79
37,21,3532.514
38,7,2880.411
39,20,2256.15
40,13,6462.979
41,21,3631.792
42,13,869.457
43,27,646.342
44,16,855.992
45,18,4502.322
46,14,5362.204
47,12,1284.068
48,31,708.429
49,8,299.755
50,5,2130.227
51,8,420.864
52,14,360.235
53,13,6823.529
54,7,575.767
55,8,1024.302
56,7,1538.864
57,8,9183.066
58,5,1920.138
59,1,1824.533
61,2,3400.638
62,11,11366.697
64,8,2888.252
65,8,951.222
66,9,317.784
67,11,1858.112
68,17,10523.854
69,9,4074.064
70,2,805.071
71,2,1503.531
72,10,240.037
73,6,144.017
74,1,24.004
75,3,72.007
76,7,531.637
77,1,145.028
80,1,1927.167
83,5,2979.314
85,1,873.417
88,1,18.423
89,1,47.974
91,1,738.511
97,4,575.775
108,3,4144.819
113,1,47.973
117,1,349.716
131,1,1152.067
132,1,733.489
140,2,4912.694
141,4,714.827
142,1,869.944
145,2,844.073
147,2,874.427
155,2,1046.562
156,1,314.967
157,1,192.031
158,2,480.093
159,1,192.062
168,4,29.576
172,1,3125.261
174,4,579.736
190,11,512.355
209,1,23.986
262,1,360.067
